st,stf
IN,18
MS,28
OH,39
IN,18
TN,47
IN,18
IN,18
IN,18
TX,48
LA,22
SC,45
NC,37
NC,37
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
FL,12
GA,13
CA,6
MI,26
KS,20
TX,48
AL,1
GA,13
IL,17
IA,19
IL,17
IL,17
KS,20
IL,17
NE,31
MO,29
OK,40
OK,40
KS,20
OK,40
OK,40
IL,17
IL,17
IL,17
AR,5
KY,21
TX,48
TX,48
TX,48
TX,48
AL,1
GA,13
SC,45
FL,12
NJ,34
TX,48
TX,48
TX,48
MI,26
CA,6
WA,53
SD,46
NE,31
SD,46
KS,20
NE,31
MN,27
KS,20
MI,26
MI,26
MI,26
MI,26
MI,26
MI,26
MI,26
MI,26
MI,26
MI,26
NE,31
NE,31
PA,42
PA,42
PA,42
MI,26
MI,26
MO,29
TX,48
ND,38
IL,17
ID,16
IL,17
IN,18
MO,29
KS,20
KS,20
OK,40
TX,48
GA,13
NM,35
AR,5
TX,48
OK,40
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
KS,20
KS,20
IA,19
IA,19
KS,20
TX,48
TX,48
NM,35
NE,31
IA,19
NE,31
KS,20
KS,20
KS,20
OK,40
OK,40
OK,40
OK,40
MA,25
MA,25
MA,25
ME,23
MA,25
CO,8
ID,16
OK,40
OK,40
ID,16
GA,13
ND,38
NE,31
NE,31
KS,20
NE,31
NE,31
NE,31
NE,31
OK,40
OK,40
OK,40
MA,25
PA,42
SD,46
NE,31
IL,17
TX,48
TX,48
OK,40
ND,38
KS,20
TX,48
ND,38
TX,48
CO,8
KS,20
IL,17
WY,56
NE,31
SD,46
SD,46
KS,20
TX,48
KS,20
MN,27
OK,40
OK,40
NE,31
IN,18
SC,45
MN,27
CO,8
KS,20
KS,20
NE,31
KS,20
MI,26
OH,39
MI,26
OK,40
NH,33
SD,46
MN,27
MN,27
NE,31
NE,31
WI,55
MI,26
MI,26
KS,20
KS,20
OK,40
OK,40
NY,36
MO,29
OK,40
OK,40
KS,20
FL,12
MO,29
OK,40
ND,38
SD,46
NE,31
WY,56
NE,31
TX,48
TX,48
KS,20
KS,20
KS,20
KS,20
ND,38
KS,20
AL,1
OH,39
NM,35
NH,33
ID,16
KS,20
KS,20
MO,29
ND,38
CO,8
KS,20
AZ,4
NJ,34
TN,47
LA,22
KY,21
NJ,34
IN,18
KY,21
KY,21
KY,21
CO,8
KY,21
KS,20
WI,55
OK,40
MN,27
IA,19
CO,8
ND,38
ND,38
MN,27
KS,20
NE,31
KY,21
CO,8
CO,8
CO,8
KS,20
VA,51
VA,51
VA,51
VA,51
IN,18
TX,48
OH,39
KS,20
IN,18
WI,55
TN,47
KS,20
IN,18
OK,40
MS,28
TX,48
TX,48
TX,48
AZ,4
AZ,4
NE,31
IN,18
NE,31
NC,37
SD,46
SD,46
MI,26
OH,39
